audible,-1
digital-skills,-1
amazon-devices,55
apple-devices,58
appliances,49
mobile-apps,-1
toys-and-games,181
arts-crafts,191
automotive,362
apparel,74
baby-products,74
books,293
digital-text,-1
entertainment-collectibles,298
magazines,297
movies-tv,298
music,303
dmusic,303
musical-instruments,182
pc,58
aht,52
hi,314
tv,52
electronics,335
wireless-prepaid,70
photo,52
car,335
kitchen,44
sports-and-fitness,197
team-sports,197
hunting-fishing,197
golf,197
sports-collectibles,197
leisure-sports-games,197
sporting-goods,197
outdoor-recreation,197
videogames,298
videogames-download,-1
wearable-tech,58
software,68
office-electronics,50
office-products,191
home-automation,50
home-garden,325
furniture,184
art-collectibles,271
collectibles,271
pet-supplies,94
grocery,82
amazonfresh,82
wholefoods,82
pantry,82
boost,82
amazon-elements,82
beauty,200
luxury-beauty,200
hpc,200
handmade,181
vehicles,356
industrial,338
subscribe-with-amazon,200
shorts-and-clips,-1
courseware,-1
default,213
